recipe_id,food_word,recipe_name,category,dietary_category,link_type,canonical_ndb_no,prep_time,servings_label,servings_count,sr_rule,cooking_method,cook_minutes,cook_temp_f,yield_factor_water,yield_factor_fat,yield_factor_protein,yield_factor_carbohydrate,yield_factor_other,yield_factor_fiber,status,fingerprint,sr_notes,disclosure,audit_status,audit_notes,skip_macros,cook2_method,cook2_minutes,cook2_temp_f,cook3_method,cook3_minutes,cook3_temp_f,fill_class,cook2_fill_class,cook3_fill_class
SWEET_001,APPLEPIE,Pie Apple,Sweets & Desserts,veggie,dish,18302,45 min,1 slice (makes 8),8,Rule C,baked,52,350,,,,,,,approved,aef34f001017cce1ad1f6476d6a42498d711aeb66652e367e40f9176763ff7d6,Rule C — NDB 18302 exists in SR Legacy but uses applesauce filling + frozen crust; SWEET_001 uses fresh Granny Smith slices + homemade double crust. Structural divergence irreducible. Stovetop simmer 5 min lid-off (195°F) via boil_stages=5. thickened_fruit fill_class (40g cornstarch); 425°F/15 min then 350°F/37 min.,Rule C — canonical NDB 18302 exists but structural divergence is irreducible (applesauce vs fresh apple filling; frozen vs homemade crust). Reclassified from Rule B 2026-07-01.,PASS,Rule C — NDB 18302 canonical uses applesauce + frozen crust vs SWEET_001 fresh Granny Smith + homemade crust. All macro deltas exceed ±5% — structurally irreducible. Reclassified 2026-07-01.,,,,,,,,pastry,,
SWEET_002,APPLESTRUDEL,Apple Strudel,Sweets & Desserts,veggie,dish,18354,40 min,1 piece (makes 12),12,Rule A,baked,35,375,,,,,,,approved,faa13ac99bbda20f4b2aaf02755bb004c2deb3ab4542fe58dca1c2dcf7556881,Reverse-engineered from canonical NDB 18354; puff pastry shortcut; raisin-apple filling pre-cooked with 1/4 cup added water (5 min covered + simmer until thickened); bread crumbs sprinkled on pastry to absorb juices; bake yield 0.83,The nutrient values reflect water loss during the saucepan pre-cook and oven bake. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18354 within an average macro discrepancy of 1.8%.,PASS,Rule A. All 7 graded macros within ±4.1% of canonical NDB 18354. Max delta: Carbohydrate +4.1%. Added cinnamon/ginger/nutmeg (was erroneously is_optional=true since 25ca67e migration). Locked May 14 2026.,,,,,,,,pastry,,
SWEET_003,BANANACREAMPIE,Pie Banana Cream,Sweets & Desserts,veggie,dish,18304,40 min,1 slice (makes 8),8,Rule A,,,,,,,,,,approved,366954eb728d1c6c01ef4e4e3de759ad919b68c1ae41b74c49acf3c082c74baa,Reverse-engineered from canonical NDB 18304 / FDC 172777; four-section build per v3.md §18 — baked pastry crust (yfw 0.75) + boiled pastry cream filling (yfw 0.72) + raw banana assembly (yfw 1.00) + raw whipped cream topping (yfw 1.00); ingredient grams retuned 2026-05-08 to close §14a tightest-achievable gaps; pie chilled before serving,The nutrient values reflect water loss during the bake of the crust and the cream filling set. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18304 within an average macro discrepancy of 1.7%.,PASS,Rule A. All 7 graded macros within ±4.3% of canonical NDB 18304. Max delta: FiberTotalDietary +4.3%. Vanilla custard filling yfw=0.720 (boiled/chilled custard — no physics class applicable). Locked May 13 2026.,
SWEET_004,BLUEBERRYPIE,Pie Blueberry,Sweets & Desserts,veggie,dish,18306,30 min,1 slice (makes 8),8,Rule B,baked,80,375,,,,,,,approved,693913a0cc0c63f3a006735794056267e55357bbea5a312d0daa571ba59b9970,Reverse-engineered from canonical NDB 18306; classic double-crust fresh blueberry pie; filling thickened with cornstarch + lemon; baked at 425F then 350F until bubbling; yield reflects water loss during enclosed double-crust bake.,The nutrient values reflect water loss during the double-crust bake. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18306 within an average macro discrepancy of 1.4%.,PASS,"Rule B. All 5 graded macros within ±2.1% of canonical NDB 18306. Max delta: Carbohydrate -1.9%. FiberTotalDietary and SugarsTotal ungraded (canonical ref=0). Filling yfw derived by algorithm: thickened_fruit class, 425°F/25min → 375°F/52min → yfw=0.868. Locked May 13 2026.",,,,,,,,pastry,,
SWEET_005,CHERRYPIE,Pie Cherry,Sweets & Desserts,veggie,dish,18309,45 min,1 slice (makes 8),8,Rule B,baked,80,375,,,,,,,approved,f96af95bdb89ddf30433a8f4439cc7fe3ce3385e6e99ca20b57207b4db992b3e,Reverse-engineered from canonical NDB 18309; classic double-crust lattice tart cherry pie; filling thickened with cornstarch + lemon; baked at 425F then 375F until bubbling; yield reflects water loss during enclosed double-crust bake.,The nutrient values reflect water loss during the double-crust bake. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18309 within an average macro discrepancy of 1.4%.,PASS,"Rule B. All 5 graded macros within ±3.4% of canonical NDB 18309. Max delta: TotalLipidFat -3.3%. FiberTotalDietary and SugarsTotal ungraded (canonical ref=0). Filling yfw derived by algorithm: thickened_fruit class, 425°F/25min → 375°F/52min → yfw=0.868. Locked May 13 2026.",,,,,,,,pastry,,
SWEET_006,LEMONMERINGUEPIE,Pie Lemon Meringue,Sweets & Desserts,veggie,dish,18321,45 min,1 slice (makes 8),8,Rule B,baked,9,350,,,,,,,approved,f476b9ae0d6afac4c755ddf865e3b70a09b92b6aafa24f397f8c9247ebca7b6d,"Reverse-engineered from canonical NDB 18321; blind-baked single pastry crust + stovetop lemon curd filling thickened with cornstarch + egg yolks + meringue topping browned in oven; yield reflects crust bake water loss, curd simmer reduction, and meringue bake.",The nutrient values reflect water loss during the bake. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18321 within an average macro discrepancy of 4.4%.,PASS,Rule B. All 5 graded macros within ±2.7% of canonical NDB 18321. Max delta: Water +2.7%. FiberTotalDietary and SugarsTotal ungraded (canonical ref=0). Lemon curd filling yfw=0.920 (boiled/chilled curd — no physics class applicable). Filling butter increased 6 tbsp → 7 tbsp (85g → 99.2g) to correct TotalLipidFat -6.9% shortfall. Meringue topping yfw=0.850 (hard-coded — surface-browning model invalid for meringue). Locked May 13 2026.,,,,,,,,pastry,,
SWEET_007,MINCEPIE,Pie Mince,Sweets & Desserts,veggie,dish,18322,60 min,1 slice (makes 8),8,Rule A,baked,53,375,,,,,,,approved,c663c211c3c0099fddb48c1008cb248c56f70011ce3ec2167c365c8ddd3a6eb2,"Reverse-engineered from canonical NDB 18322; traditional British-style double-crust mince pie filled with homemade spiced dried fruit and apple mincemeat (raisins, golden raisins, currants, cranberries, dates, apricots, candied fruit, Granny Smith apples, brown sugar, warm spices); mixed-fat double crust (5 tbsp butter + 8 tbsp + 2 tsp vegetable shortening); egg-washed top crust; baked at 425°F/20min then 375°F/32min; yield reflects moisture loss from fruit compote reduction and crust bake.",The nutrient values reflect water loss during the pre-cooked mincemeat simmer and the double-crust bake. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18322 within an average macro discrepancy of 4.4%.,PASS,"Rule A. All 7 graded macros within ±4.8% of canonical NDB 18322. Max delta: SugarsTotal +4.8%. Filling yfw derived by algorithm: mincemeat class, 425°F/20min → 375°F/32min → yfw=0.770. Locked May 13 2026.",,,,,,,,pastry,,
SWEET_008,PEACHPIE,Pie Peach,Sweets & Desserts,veggie,dish,18323,60 min,1 slice (makes 8),8,Rule C,baked,47,375,,,,,,,approved,6e5261ee2416eeff70acf62d3ed9a4166f68ddd58b8358b7511d5756418474bb,"Built as a classic double-crust lattice peach pie with peeled fresh peaches. Canonical NDB 18323 was evaluated and rejected for validation: its low protein/fiber profile only fits a thin single-crust pie made with mostly canned/peeled fruit, which does not represent a real homemade peach pie. Recipe approved on its own merits as 'Rule 2 - homemade reference recipe, canonical rejected'.",Authentic homemade peach pie spec. NOT validated against USDA SR Legacy NDB 18323 because that canonical entry's protein (1.9 g/100g) and fiber (0.8 g/100g) are inconsistent with any double-crust pie made with a standard wheat-flour shell — the crust alone exceeds those totals. Free-tier nutrient values are computed from the ingredients in this recipe; paid-tier values may substitute canonical fields where appropriate.,NO_CANON,"Crust ingredients standardised to CRUST_001 (double crust, 2× CRUST_002 amounts): 312.5g flour, 6.5g salt, 70.5g butter, 110.94g shortening, 74.0g water. Prior all-butter crust (250g flour, 170g butter, 8g sugar, no shortening) replaced. Crust yfw=0.820 hard-coded (fully baked double crust in-pie, consistent with SWEET_001). Rule C — no canonical NDB for homemade peach pie. Locked May 13 2026.",,,,,,,,pastry,,
SWEET_009,PIEPECAN,Pecan Pie,Sweets & Desserts,veggie,dish,18325,30 min,1 slice (makes 8),8,Rule B,baked,55,350,,,,,,,approved,10e2ee0e2a80bff8be2e8f2ea2846c42629c16613363f95d1f7a3b92e71cb0b4,Classic Karo-style pecan pie with single blind-baked crust.,The nutrient values reflect water loss during the bake. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18325 within an average macro discrepancy of 2.0%.,PASS,"Rule B. All 5 graded macros within ±2.9% of canonical NDB 18325. Max delta: Protein -2.9%. FiberTotalDietary and SugarsTotal ungraded (canonical ref=0). Filling yfw derived by algorithm: syrup_custard class, 350°F/55min → yfw=0.811. Locked May 13 2026.",,,,,,,,pastry,,
SWEET_010,PIEPUMPKIN,Pumpkin Pie,Sweets & Desserts,veggie,dish,18327,20 min,1 slice (makes 8),8,Rule B,baked,60,350,,,,,,,approved,d26549ad94d0ec2c526efcaa93921f22d39709bf91b14f9afe36bc3e562fde31,Classic Libby's-style pumpkin pie with single blind-baked crust (same as SWEET_009).,The nutrient values reflect water loss during the bake. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18327 within an average macro discrepancy of 2.9%.,PASS,"Rule B. All 5 graded macros within ±1.3% of canonical NDB 18327. Max delta: Protein +1.3%. FiberTotalDietary and SugarsTotal ungraded (canonical ref=0). Butter-only single crust (1¼ cups flour/156.3g, 6 tbsp butter/85g). Filling yfw derived by algorithm: vegetable_custard class, 425°F/15min → 350°F/45min → yfw=0.951. Locked May 13 2026.",,,,,,,,pastry,,
