recipe_id,recipe_name,category,ingredient_rows,dish_rows,nutrition_present,ingredient_anchor,nutrition_long_desc,ingredient_name_overlap,nutrition_name_overlap,status
BFAST_001,Pancakes,Breakfast,6,1,yes,Potatoes hash brown home-prepared,"Potatoes, hash brown, home-prepared",0.0,0.0,strongly_mismatched_ingredients_and_nutrition
BFAST_002,Scrambled Eggs,Breakfast,9,1,yes,Muffins corn prepared from recipe made with low fat 2% milk,"Muffins, corn, prepared from recipe, made with low fat (2%) milk",0.5,0.0,nutrition_mismatched
BFAST_003,Bacon,Breakfast,9,1,yes,Muffins blueberry prepared from recipe made with low fat 2% milk,"Muffins, blueberry, prepared from recipe, made with low fat (2%) milk",0.0,0.0,strongly_mismatched_ingredients_and_nutrition
BFAST_004,French Toast,Breakfast,9,1,yes,Pancakes buttermilk prepared from recipe,"Pancakes, buttermilk, prepared from recipe",0.0,0.0,strongly_mismatched_ingredients_and_nutrition
BFAST_005,Oatmeal,Breakfast,10,1,yes,Pancakes blueberry prepared from recipe,"Pancakes, blueberry, prepared from recipe",0.0,0.0,strongly_mismatched_ingredients_and_nutrition
BFAST_006,Biscuits & Gravy,Breakfast,10,1,yes,Pancakes gluten-free frozen ready-to-heat,"Pancakes, gluten-free, frozen, ready-to-heat",0.0,0.0,strongly_mismatched_ingredients_and_nutrition
BFAST_007,Eggs Benedict,Breakfast,8,1,yes,Pancakes plain prepared from recipe,"Pancakes, plain, prepared from recipe",0.0,0.0,strongly_mismatched_ingredients_and_nutrition
BFAST_008,Breakfast Burrito,Breakfast,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
BFAST_009,Breakfast Sandwich,Breakfast,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
SANDW_001,BLT,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
SANDW_002,Club Sandwich,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
SANDW_003,Grilled Cheese,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
SANDW_004,Reuben,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
SANDW_005,Tuna Salad Sandwich,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
SANDW_006,Chicken Salad Sandwich,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
SANDW_007,Egg Salad Sandwich,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
SANDW_008,Philly Cheesesteak,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
SANDW_009,Italian Sub,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
BURG_001,Hamburger,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
BURG_002,Cheeseburger,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
BURG_003,Bacon Cheeseburger,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
BURG_004,Mushroom Swiss Burger,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
BURG_005,Turkey Burger,Sandwiches & Burgers,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_001,Fried Chicken (piece),Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_002,Fried Chicken Dinner,Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_003,Meatloaf (slice),Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_004,Meatloaf Dinner,Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_005,Roast Chicken Dinner,Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_006,Pot Roast Plate,Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_007,Beef Steak Dinner,Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_008,Pork Chop Dinner,Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_009,Salmon Dinner,Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_010,Chicken Pot Pie,Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
AMER_011,Shrimp & Grits,Entrees & Main Courses,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
PIZZA_001,Cheese Pizza,Pasta & Pizza,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
PIZZA_002,Pepperoni Pizza,Pasta & Pizza,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
PIZZA_003,Meat Lovers Pizza,Pasta & Pizza,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
PIZZA_004,Veggie Pizza,Pasta & Pizza,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
PIZZA_005,BBQ Chicken Pizza,Pasta & Pizza,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
ITAL_001,Spaghetti & Meatballs,Pasta & Pizza,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
ITAL_002,Fettuccine Alfredo,Pasta & Pizza,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
ITAL_003,Chicken Parmesan,Pasta & Pizza,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
ITAL_004,Lasagna,Pasta & Pizza,0,0,no,,,0.0,0.0,missing_ingredients_and_nutrition
